	control1	control2	control3	OGDR01	OGDR02	OGDR03	OGDR101	OGDR102	OGDR103	OGDR81	OGDR82	OGDR83
3110082J24Rik	0	0	0	0	0	0	0	1	0	0	0	0
4933400A11Rik	0	0	0	1	1	0	1	0	0	0	1	0
4933403O08Rik	9	5	5	10	7	13	5	15	7	11	13	8
5S_rRNA	0.556962025316456	0.670886075949367	0.873417721518987	0.721518987341772	0.936708860759494	0.759493670886076	0.708860759493671	0.886075949367089	0.683544303797468	0.962025316455696	0.772151898734177	0.886075949367089
A1cf	0	3	3	3	7	8	9	6	3	5	4	2
A2m	724	1054.5	1339	1357.5	1236	1436.5	1220	2113	920.5	1317.5	2031	796.5
A2ml1	10	11	6	8	4	6	9	9	10	10	9	14
A3galt2	467	460	479	509	501	555	542	626	602	601	540	526
A4galt	419	420	452	5	8	2	10	13	12	4	13	9
Aaas	352	346	379	519	506	518	603	608	568	604	548	595
AABR07000137.1	0	0	0	0	0	0	0	1	0	2	1	0
AABR07000147.1	29	36	41	72	78	71	61	88	86	90	79	63
AABR07000158.1	0	0	0	0	0	1	0	0	0	0	0	1
AABR07000159.4	0	0	1	0	0	0	1	0	0	0	1	0
AABR07000222.1	18	24	27	23	29	32	30	29	22	23	37	22
AABR07000276.1	0	0	0	0	0	0	0	1	0	0	0	0
AABR07000292.1	6	7	4	6	7	7	8	6	8	11	6	6
AABR07000398.1	5	9	6	8	10	14	14	8	13	13	15	6
AABR07000583.1	0	0	0	1	0	1	0	0	0	0	1	0
AABR07000989.1	0	0	0	0	1	0	0	0	0	0	0	0
AABR07001348.1	0	0	1	0	0	0	0	0	0	0	0	0
AABR07001416.1	0	1	3	1	1	0	2	0	2	0	1	1
AABR07001435.1	7	6	2	6	16	10	12	13	15	9	12	8
AABR07001512.1	36	35	33	26	24	25	37	37	33	37	31	30
AABR07001519.1	9	12	14	1	3	2	3	2	1	2	1	2
AABR07001592.2	1	1	4	5	7	4	4	7	6	1	10	8
AABR07001896.1	57	65	66	60	80	73	84	97	78	75	69	64
AABR07001902.1	3	2	5	4	4	8	7	2	2	8	7	5
AABR07001923.1	94	125	115	176	178	162	184	187	159	193	179	197
AABR07001942.1	0	0	7	1	6	2	3	3	2	2	1	5
AABR07002025.1	0	0	1	0	0	0	0	0	0	0	0	0
AABR07002093.2	0	0	1	0	0	0	0	0	1	0	0	0
AABR07002473.1	0	2	0	0	0	2	0	0	0	0	1	0
AABR07002546.1	15	12	17	27	34	26	37	38	24	36	24	32
AABR07002622.1	0	0	1	0	0	0	1	0	0	1	0	1
AABR07002627.1	5	6	6	8	13	7	3	5	7	8	11	5
AABR07002683.1	154	160	162	113	138	123	149	152	172	134	125	130
AABR07002689.1	0	1	1	1	1	1	3	1	2	0	0	2
AABR07002782.1	1	0	0	0	1	0	0	1	1	0	0	0
AABR07002783.1	0	0	0	0	1	1	0	1	0	0	1	0
AABR07002848.1	26	35	16	35	31	28	34	20	39	20	26	29
AABR07002893.1	1	0	1	0	0	0	0	1	2	0	1	0
AABR07002938.1	50	69	74	96	87	85	101	97	105	115	75	85
AABR07002945.2	8	9	13	23	23	17	27	19	24	18	22	24
AABR07002969.1	87	97	109	154	165	170	191	178	208	191	157	157
AABR07003173.1	6	1	4	6	3	6	3	4	6	2	7	4
AABR07003273.1	0	0	0	0	0	0	0	1	0	0	0	0
AABR07004061.1	1	0	0	0	0	0	0	0	0	0	0	0
AABR07004112.1	74	87	84	94	97	87	82	87	109	96	85	94
AABR07004232.1	0	0	0	0	0	0	1	0	0	1	0	0
AABR07004269.3	150	183	174	354	264	303	356	372	391	346	311	327
AABR07004746.1	4	5	7	13	16	19	13	15	26	16	16	15
AABR07004876.1	2	2	1	0	4	1	0	2	3	1	0	5
AABR07004881.1	16	12	22	19	12	27	20	26	30	26	22	19
AABR07004891.1	0	0	0	1	0	1	0	0	0	0	0	0
AABR07004992.1	4	3	0	4	2	3	2	0	1	4	1	1
AABR07005031.1	12	8	18	46	36	36	26	39	57	47	61	39
AABR07005031.3	0	0	0	0	0	1	0	0	0	0	0	0
AABR07005506.1	1	1	1	1	0	1	1	2	0	5	2	0
AABR07005572.2	2	0	2	1	1	5	3	2	2	1	3	3
AABR07005588.1	571	553	586	880	835	895	956	1036	1046	1061	950	935
AABR07005775.1	19	17	18	10	10	7	6	9	2	4	10	5
AABR07005779.3	22	44	39	53	51	52	53	58	51	50	51	39
AABR07005821.1	23	33	34	14	11	7	15	8	15	16	12	10
